Unit Price Date,Sale ID,Item Name,Item Quantity,Unit Price
2001/03/23,3,jehfinfwk,2,22
2001/03/23,3,kkkkkkk,3,2233
2002/12/1,7430,Book ,1,200
2003/02/02,22342,foifnkngn,2,22
2003/04/04,22,jforfnnfk,2,21
2003/05/05,2323443,okdhwiwefnf,22,1
2003/05/05,2,anirudh,2,21
2003/09/09,234,note,2,3
2003/11/11,2345,oencil,3,4
2006/4/21,9241,pocketnote,1,29
2020/02/13,3,laptop,1,40000
2022/3/11,14,phone,1,20000
2023/03/03,22442,oksfohfirfh,2,22
2023/04/10,23,jehfinfwk,2,20
2023/10/05,3444,knfjdfjdf,3,34
2023/10/05,77,kkyutftd,9,10
2025/8/19,2314,vjjjjnvjf,2,34
